編號,地點位置,管轄分局,郵遞區號(3碼),備註,longitude,latitude
1,臺北市大同區捷運中山站	,大同分局	,103,續列,121.519866,25.052845
2,臺北市大同區捷運大橋頭	,大同分局	,103,新增,121.5136078,25.0633375
3,臺北市萬華區峨嵋街、漢中街口(捷運西門站)	,萬華分局	,108,續列,121.5077921,25.0415168
4,臺北市萬華區西園路、和平西路口(捷運龍山寺站)	,萬華分局	,108,續列,121.4998019,25.0351014
5,臺北市中山區捷運中山國小站	,中山分局	,104,續列,121.5253995,25.0626366
6,臺北市中山區捷運中山國小站	,中山分局	,104,續列,121.5253995,25.0626366
7,臺北市大安區捷運忠孝復興站	,大安分局	,106,續列,121.5437808,25.0416216
8,臺北市中正區捷運臺北車站	,中正第一分局	,100,續列,121.51375,25.04882
9,臺北市中正區二二八公園	,中正第一分局	,100,續列,121.5155445,25.0402983
10,臺北市中正區捷運古亭站	,中正第二分局	,100,續列	,121.52212,25.02736
11,臺北市信義區松廉路段(松仁路至松智路區塊內之廊道及空橋),信義分局,110,續列	,121.5654079,25.0341403
12,臺北市信義區松壽路段(松智路至松仁路)	,信義分局	,110,續列,121.5654079,25.0341403
13,臺北市北投區捷運劍潭站	,士林分局	,111,續列,121.515018,25.1151759
14,臺北市北投區捷運新北投站	,北投分局	,112,新增,121.5022901,25.1369406
15,臺北市文山區指南路道南橋下涵洞附近	,文山第一分局	,116,續列,121.569801,24.987615
16,臺北市文山區捷運萬芳醫院站	,文山第二分局	,116,續列,121.556861,24.999584
17,臺北市南港區捷運南港展覽館站	,南港分局	,115,續列,121.6168358,25.0548748
18,臺北市內湖區成功路五段420巷	,內湖分局	,114,續列,121.6085467,25.0752651
19,臺北市內湖區內湖路一段667巷	,內湖分局	,114,新增,121.5760766,25.080507
