place_name,town
碧山街,內湖區
研究院路,文山區
國道3號,文山區
景美溪堤外便道,文山區
小坪頂路,北投區
至遠一路,北投區
復興路,北投區
新園街,北投區
松山路,松山區
南港路,松山區
堤頂大道,松山區
洲美快速道路,北投區
民權路,北投區
木柵路,信義區
玉成街,信義區
國道3號,信義區
堤頂大道,信義區
力行街,南港區
松山路,南港區
芳園街,南港區
國道3號,南港區
國道5號,南港區
內湖路,士林區
康寧路,南港區
國泰街,士林區
福榮街,士林區
福德路,士林區
翠山街,士林區
劍南路,士林區
劍潭路,士林區
德行西路,士林區
德行東路,士林區
樂生巷,士林區
環河快速道路,士林區
磺溪街,士林區
臨溪路,士林區
雙溪產業道路,士林區
寶橋路,文山區
環山二道,文山區
環山三道,文山區
環東大道,松山區
環河北路,萬華區
鄭州路,中正區
機車道,文山區
福華路,北投區
碧山路,士林區
溪洲街,文山區
萬芳交流道,文山區
新店溪與淡水河腳踏車,萬華區
新富街,內湖區
新豐街,內湖區
圓環,信義區
塔城街,中正區
敬熙路,士林區
新生北路高架道路,中山區
新生高架道路匝道,中正區
新生街,北投區
圓環,士林區
圓環,中山區
圓環,中正區
圓環,文山區
圓環,文山區
圓環,萬華區
港東街,南港區
華江大橋匝道,萬華區
喬治工商校區內道路,信義區
堤外便道,中正區
堤外便道,文山區
復北地下道,松山區
區塊道路,士林區
區塊道路,北投區
基隆路車,信義區
基隆路高架道路匝道,大安區
基隆路高架道路匝道,文山區
重陽大橋匝道,士林區
重新路,大同區
峨眉街,萬華區
南港聯絡道,南港區
南勢街,南港區
政大校區內道路,文山區
金莊路,內湖區
松信路,松山區
東勢街,南港區
忠孝大鵬提外便道,文山區
車行地下道,大安區
車行地下道,中正區
自強路,北投區
老子大道,士林區
自行車專用道,中正區
立賢路,北投區
永保街,內湖區
玉山路,文山區
民族東路,內湖區
台大校區內道路,大安區
市民高架道路,大安區
市民高架道路,中山區
市民高架道路,中正區
市民高架道路,松山區
市民高架道路匝道,大安區
市民高架道路匝道,中正區
市民高架道路匝道,信義區
巴拉卡公路,北投區
仁愛敦南圓環,大安區
中興大橋機車道,萬華區
中山路,士林區
中坡北路,松山區
大亨路,士林區
三民圓,松山區
力行路,北投區
大享路,士林區
農業道路,北投區
峨嵋街,萬華區
環河快速道路,萬華區
水源快速道路,文山區
北二高台北聯絡道,文山區
信義快速道路,文山區
深坑端,文山區
溪州街,文山區
二高南港聯絡道,南港區
信義快速道路,南港區
福音大道,南港區
蔣渭水高速公路,南港區
中山高汐五高架道路,內湖區
中山高速公路,內湖區
中山高汐五高架道路,士林區
中山高速公路,士林區
洲美快速道路,士林區
新生高架道路,士林區
中湖戰備道路,北投區
中山高汐五高架道路,松山區
中山高速公路,松山區
市民大道高架道路,松山區
北二高台北聯絡道,信義區
市民大道高架道路,信義區
信義快速道路,信義區
北二高台北聯絡道,大安區
市民大道高架道路,大安區
中山高汐五高架道路,中山區
中山高速公路,中山區
天母快速道路,中山區
市民大道高架道路,中山區
通化街,中山區
西寧南路,中正區
長安東路,中正區
中山高汐五高架道路,大同區
中山高速公路,大同區
雙溪街,士林區
杏林巷,北投區
秀山路,北投區
育仁路,北投區
奇岩路,北投區
奉賢路,北投區
宜山路,北投區
怡和巷,北投區
洲美街,北投區
致遠一路,北投區
致遠二路,北投區
致遠三路,北投區
致遠路,北投區
重三路,北投區
振華街,北投區
振興街,北投區
珠海路,北投區
紗帽路,北投區
崇仁路,北投區
崇仰一路,北投區
崇仰七路,北投區
崇仰九路,北投區
崇仰二路,北投區
崇仰三路,北投區
崇仰五路,北投區
崇仰六路,北投區
崇仰路,北投區
崗山路,北投區
清江路,北投區
勝利街,北投區
堤防路,北投區
富貴一路,北投區
尊賢街,北投區
復興一路,北投區
復興二路,北投區
復興三路,北投區
復興四路,北投區
湖山路,北投區
湖底路,北投區
猴洞產業道路,北投區
登山路,北投區
菁山路,北投區
華南巷,北投區
進賢路,北投區
開明街,北投區
陽明路,北投區
陽金公路,北投區
陽關大道,北投區
新市街,北投區
新民路,北投區
新生巷,北投區
新園路,北投區
新興路,北投區
溫泉路,北投區
義方街,北投區
義理街,北投區
聖景路,北投區
裕民一路,北投區
裕民二路,北投區
裕民三路,北投區
裕民六路,北投區
裕民四路,北投區
農業道路,北投區
實踐街,北投區
榮華一路,北投區
榮華二路,北投區
翠宜路,北投區
翠華街,北投區
翠雲街,北投區
翠嶺路,北投區
銀光巷,北投區
稻香路,北投區
學園路,北投區
樹林路,北投區
錫安巷,北投區
環山路,北投區
磺田路,北投區
磺港路,北投區
隱潭路,北投區
豐年路,北投區
雙全街,北投區
懷德街,北投區
關渡路,北投區
福林路,士林區
福國路,士林區
福港街,士林區
福華路,士林區
福壽街,士林區
攤姆東路,士林區
一心街,北投區
一德街,北投區
八仙產業道路,北投區
十八分產業道路,北投區
三合街,北投區
大屯產業道路,北投區
大屯路,北投區
大同街,北投區
大度路,北投區
大埔產業道路,北投區
大業路,北投區
大興街,北投區
中山北路,北投區
中山路,北投區
中心街,北投區
中央北路,北投區
中央南路,北投區
中正東路,北投區
中正產業道路,北投區
中正街,北投區
中和街,北投區
中湖戰備道路,北投區
中華街,北投區
中興路,北投區
五分產業道路,北投區
公館路,北投區
天母北路,北投區
天母西路,北投區
巴拉卡公路,北投區
文化一路,北投區
文化二路,北投區
文化三路,北投區
文化五路,北投區
文林北路,北投區
水二溪路,北投區
北投路,北投區
民族街,北投區
民權街,北投區
永興路,北投區
石子路,北投區
石仙路,北投區
石牌路,北投區
石壇路,北投區
立功街,北投區
立功路,北投區
立農街,北投區
立德街,北投區
立德路,北投區
光明路,北投區
光武路,北投區
光復路,北投區
吉利街,北投區
同德街,北投區
百拉卡公路,北投區
百齡五路,北投區
百齡四路,北投區
竹子湖路,北投區
自立路,北投區
自強街,北投區
行義路,北投區
西安街,北投區
西園街,北投區
杏林一路,北投區
杏林二路,北投區
杏林三路,北投區
承德路,北投區
明德路,北投區
東昇路,北投區
東華街,北投區
東陽街,北投區
知行路,北投區
長春路,北投區
長壽路,北投區
青春嶺路,北投區
信德大道,北投區
幽雅路,北投區
建民路,北投區
建國街,北投區
泉源路,北投區
洲美快速道路,北投區
玉門街,士林區
仰德大道,士林區
光華路,士林區
安平街,士林區
朱子路,士林區
百齡三路,士林區
百齡路,士林區
竹子湖路,士林區
自祥街,士林區
至城路,士林區
至善路,士林區
至誠路,士林區
西安街,士林區
克強路,士林區
忠勇街,士林區
忠義街,士林區
忠義路,士林區
忠誠路,士林區
承德路,士林區
明溪街,士林區
明德路,士林區
東山路,士林區
東華街,士林區
林文路,士林區
社子一街,士林區
社子九街,士林區
社子二十四街,士林區
社子二十街,士林區
社子八街,士林區
社子十一街,士林區
社子十七街,士林區
社子十九街,士林區
社子十二街,士林區
社子十八街,士林區
社子十六街,士林區
社子十街,士林區
社子五街,士林區
社子六街,士林區
社子街,士林區
社中街,士林區
社正路,士林區
芝玉路,士林區
金龍產業道路,士林區
長生巷,士林區
長春街,士林區
長泰街,士林區
雨農路,士林區
前港街,士林區
前街,士林區
建國街,士林區
建業路,士林區
後港街,士林區
後街,士林區
故宮路,士林區
洲美快速道路,士林區
美崙街,士林區
美德街,士林區
重慶北路,士林區
倫等街,士林區
格致路,士林區
荀子大道,士林區
國華街,士林區
基河路,士林區
莊頂路,士林區
通河西街,士林區
通河東街,士林區
通河街,士林區
凱旋路,士林區
富貴街,士林區
復國街,士林區
復國路,士林區
曾子路,士林區
猴洞產業道路,士林區
菁山路,士林區
菁礐路,士林區
華光街,士林區
華岡路,士林區
華榮街,士林區
華興街,士林區
華聲街,士林區
華齡街,士林區
貴富街,士林區
陽明路,士林區
陽金公路,士林區
愛富一街,士林區
愛富二街,士林區
愛富三街,士林區
新生高架道路,士林區
新安路,士林區
新園街,士林區
新園路,士林區
萬溪左線產業道路,士林區
萬溪產業道路,士林區
葫東街,士林區
葫蘆街,士林區
榮華三路,士林區
碧溪產業道路,士林區
福志路,士林區
安泰街,內湖區
安康路,內湖區
安興街,內湖區
成功路,內湖區
江南街,內湖區
行忠路,內湖區
行善路,內湖區
行愛路,內湖區
康寧街,內湖區
康寧路,內湖區
康樂街,內湖區
堤頂大道,內湖區
港華街,內湖區
港墘路,內湖區
陽光街,內湖區
新生南路,內湖區
新明路,內湖區
新湖一路,內湖區
新湖二路,內湖區
新湖三路,內湖區
瑞光路,內湖區
瑞湖街,內湖區
碧山路,內湖區
碧溪產業道路,內湖區
劍南路,內湖區
撫遠街,內湖區
樂群三路,內湖區
潭美街,內湖區
環山路,內湖區
環東大道,內湖區
舊宗路,內湖區
麗山街,內湖區
力行街,士林區
下半嶺產業道路,士林區
下東勢產業道路,士林區
下樹林街,士林區
士東路,士林區
士商路,士林區
大北路,士林區
大光街,士林區
大西路,士林區
大享路,士林區
大東路,士林區
大南路,士林區
小北街,士林區
小西街,士林區
小西路,士林區
小東街,士林區
小南街,士林區
中七街,士林區
中二十一路,士林區
中十一街,士林區
中十七路,士林區
中十二路,士林區
中十五路,士林區
中十六路,士林區
中十四街,士林區
中山北路,士林區
中山高汐五高架道路,士林區
中山高速公路,士林區
中正路,士林區
中社路,士林區
中庸一路,士林區
中庸二路,士林區
中庸五路,士林區
中湖戰備道路,士林區
中華路,士林區
中興街,士林區
